,Hotel,Link_hotel
76,Shangri-La Singapore,https://www.shangri-la.com/singapore/shangrila/?WT.mc_id=SLS_220408_SG_SEM_GOOGLE_AON_BRANDINTERNATIONAL_RSA_TEXTLINK_EN_Shangri-la%20singapore-LuxuryHotelatOrchardRoad&gclid=EAIaIQobChMI24Sv6ZCS_QIVWfBRCh3XXQEdEAAYASAAEgIxSfD_BwE&gclsrc=aw.ds
77,L'Ermitage Beverly Hills,http://www.lermitagebeverlyhills.com/
78,Silo Hotel,http://www.theroyalportfolio.com/the-silo-hotel/overview/
79,Katikies Santorini,https://www.katikies.com/katikieshotelsantorini/?gclid=EAIaIQobChMI3Nyk-JCS_QIVIRoGAB22LQNnEAAYASAAEgJkzfD_BwE
80,Nobu Hotel,https://barcelona.nobuhotels.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp
81,The Shore Club,http://www.theshoreclubtc.com/
82,Taj Holiday Village Resort & Spa,https://www.tajhotels.com/en-in/taj/taj-holiday-village-goa/?utm_source=Google&utm_campaign=Taj-Holiday-Village-Goa&utm_medium=Local
83,Mandarin Oriental Bangkok,https://www.mandarinoriental.com/en/bangkok/chao-phraya-river/offers/?src=ps.brand.mobkk.ggl&gclid=EAIaIQobChMI5Zi2hpGS_QIV_5BoCR3oeQgDEAAYASAAEgKDE_D_BwE&gclsrc=aw.ds
84,Auberge Saint-Antoine,https://www.saint-antoine.com/
85,Rosewood Miramar Beach,https://www.rosewoodhotels.com/en/miramar-beach-montecito
86,Rio Celeste Hideaway Hotel,http://www.riocelestehideaway.com/
87,Hotel Caesar Augustus,https://www.caesar-augustus.com/
88,Grand Hotel Villa Serbelloni,https://www.villaserbelloni.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb
89,Le Bristol Paris,https://www.oetkercollection.com/fr/hotels/le-bristol-paris/?utm_source=google&utm_medium=local&utm_campaign=lebristolparis
90,Shangri-La Bosphorus,https://www.shangri-la.com/en/istanbul/shangrila/
91,The Palms Turks & Caicos,http://www.thepalmstc.com/
92,"The Lodge at Blue Sky, Auberge Resorts Collection",https://aubergeresorts.com/bluesky/?utm_source=gmb&utm_medium=Yext
93,Little Palm Island Resort & Spa,https://www.littlepalmisland.com/?utm_source=gmb-hotel&utm_medium=organic&utm_campaign=gmb
94,Le Sirenuse,https://www.sirenuse.it/en/
95,andBeyond Ngorongoro Crater Lodge,https://go.andbeyond.com/ngorongoro
96,Casa San Agustín,https://www.hotelcasasanagustin.com/es/home.html
97,The Connaught,https://www.the-connaught.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=local
98,Wentworth Mansion,https://www.wentworthmansion.com/?utm_source=google&utm_medium=organic&utm_campaign=business-listing
99,Taj Lands End,https://www.tajhotels.com/en-in/taj/taj-lands-end-mumbai/?utm_source=Google&utm_campaign=taj-lands-end-mumbai&utm_medium=Local
100,Birkenhead House,https://www.theroyalportfolio.com/birkenhead-house/overview/
101,Mahali Mzuri,https://www.virginlimitededition.com/en/kasbah-tamadot?utm_medium=googlebusiness-websitelink&utm_source=googlebusiness-kasbahtamadot&utm_campaign=kasbahtamadot-home
102,Nayara Tented Group,http://www.nayaratentedcamp.com/
103,The Opposite House,http://www.theoppositehouse.com/
104,Capella Bangkok,https://www.capellahotels.com/en/capella-bangkok?utm_source=google&utm_medium=gmb&utm_campaign=CapellaBangkok
105,Kamalame Cay,https://www.kamalame.com/
106,The Temple House,https://www.thesetcollection.com/our-hotels?view=list&location=13&gclid=EAIaIQobChMIy47_55GS_QIVC-7mCh2UxwP5EAAYASAAEgL3UPD_BwE&gclsrc=aw.ds
107,Hotel Paracas,https://hotelparacasaluxurycollectionresortparacas.com-hotel.com/es/
108,"Savute Elephant Lodge, A Belmond Safari",https://www.belmond.com/safaris/africa/botswana/belmond-savute-elephant-lodge/?utm_source=local_search&utm_medium=link&utm_campaign=google_business
109,Mandarin Oriental Milan,https://www.mandarinoriental.com/en/milan/la-scala?src=loc.local_listing.momln.ggl
110,La Reserve Paris,http://www.lareserve-paris.com/en/?utm_source=google&utm_medium=local&utm_campaign=la-reserve-paris
111,Nobu Ryokan,https://malibu.nobuhotels.com/
112,Soneva Fushi,https://soneva.com/resorts/soneva-fushi/
113,Alila Manggis,http://www.alilahotels.com/manggis
114,Phinda Vlei Lodge,https://go.andbeyond.com/phinda-vlei-lodge
115,Il Sereno Lago di Como,https://www.serenohotels.com/property/il-sereno/
116,Istanbul At Sultanahmet,https://www.fourseasons.com/istanbul/?seo=google_local_ist1_emea
117,The Peninsula Manila,https://www.peninsula.com/en/manila/5-star-luxury-hotel-makati
118,Hotel Il Pellicano,https://www.hotelilpellicano.com/
119,Hotel Fasano Boa Vista,http://www.fasano.com.br/
120,Halekulani Okinawa,https://www.okinawa.halekulani.com/
121,The Lake House on Canandaigua,https://www.lakehousecanandaigua.com/?utm_source=local-listings&utm_medium=organic&utm_campaign=local-listings
122,Hyatt Regency Amritsar,https://www.hyatt.com/en-US/hotel/india/hyatt-regency-amritsar/atqhy?src=corp_lclb_gmb_seo_atqhy
123,Leela Palace Udaipur,https://www.theleela.com/the-leela-palace-udaipur/?utm_source=GMBlisting&utm_medium=organic
124,Nayara Gardens,http://www.nayaragardens.com/
125,Rancho Valencia Resort & Spa,https://ranchovalencia.com/
126,The Oberoi Mumbai,https://www.oberoihotels.com/hotels-in-mumbai/?utm_source=GMBlisting&utm_medium=organic
127,Tierra Atacama Hotel & Spa,https://tierrahotels.com/atacama/
128,Viceroy Riviera Maya,https://www.viceroyhotelsandresorts.com/riviera-maya
129,St. Regis Istanbul,https://www.marriott.com/en-us/hotels/istxr-the-st-regis-istanbul/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0
130,Katikies Mykonos,https://www.katikies.com/katikiesmykonos/
131,The Lanesborough,https://www.oetkercollection.com/hotels/the-lanesborough/?utm_source=google&utm_medium=local&utm_campaign=lanesborough_local_listing
132,The Roundtree,http://www.theroundtreehotels.com/
133,Mashpi Lodge,https://www.mashpilodge.com/
134,Angama Mara,https://angama.com/
135,Grand Hotel Excelsior Vittoria,http://www.excelsiorvittoria.com/
136,Sumaq Machu Picchu Hotel,https://www.machupicchuhotels-sumaq.com/
137,Las Ventanas al Paraíso,https://www.rosewoodhotels.com/en/las-ventanas-los-cabos
138,Viceroy Chicago,https://www.viceroyhotelsandresorts.com/chicago
139,Singita Grumeti,https://singita.com/region/grumeti/
140,Four Seasons Bangkok,https://www.fourseasons.com/bangkok/?seo=google_local_bpy1_apac
141,The Lodge & Spa at Brush Creek Ranch,https://www.brushcreekranch.com/
142,St. Regis Florence,https://www.marriott.com/en-us/hotels/flrxr-the-st-regis-florence/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0
143,Mandarin Oriental Paris,https://www.mandarinoriental.com/en/paris/place-vendome?src=loc.local_listing.mopar.ggl
144,Matetsi Victoria Falls,http://www.matetsivictoriafalls.com/
145,Round Hill Hotel and Villas,https://www.roundhill.com/
146,Khwai River Lodge,https://www.belmond.com/es/safaris/africa/botswana/belmond-khwai-river-lodge/
147,Soneva Jani,https://soneva.com/resorts/soneva-jani/
148,Inn of the Five Graces,http://www.fivegraces.com/
149,"Zadun, a Ritz-Carlton Reserve",https://www.ritzcarlton.com/es/hotels/mexico/los-cabos
150,Mfuwe Lodge,https://bushcampcompany.com/mfuwe-lodge/
151,InterContinental Bora Bora Resort & Thalasso Spa,https://www.ihg.com/intercontinental/hotels/us/en/bora-bora/bobhb/hoteldetail?cm_mmc=GoogleMaps-_-IC-_-PF-_-BOBHB
152,Banyan Tree Cabo Marqués,https://www.banyantree.com/mexico/cabo-marques
153,Ngala Safari Lodge,https://www.andbeyond.com/our-lodges/africa/south-africa/kruger-national-park/ngala-private-game-reserve/andbeyond-ngala-safari-lodge/?utm_source=google&utm_medium=organic&utm_campaign=organic-global-bofu-gmb-listing-ngala-safari-lodge
154,Sasaab,https://www.thesafaricollection.com/properties/sasaab/
155,The Sukhothai Bangkok,http://www.sukhothai.com/bangkok/en
